情景,年份,人口增长率,人均GDP增长率,煤炭占比年变化,第二产业占比年变化,城镇化率年变化,ΔlnP,ΔlnA,STIRPAT对数增长项,排放增长率
低碳情景,2030,-0.00125,0.03825,-0.008000000000000007,-0.0015000000000000013,0.0024999999999999467,-0.0012507819016524915,0.037536603528725766,-0.005281624948899381,-0.005267701691109239
低碳情景,2031,-0.0013,0.0373,-0.008399999999999963,-0.0015999999999999903,0.0023999999999999577,-0.0013008457330479584,0.03662118345564541,-0.0069881385579818765,-0.006963778295056011
低碳情景,2032,-0.00135,0.03635,-0.00880000000000003,-0.0016999999999999793,0.0022999999999999687,-0.0013509120709562367,0.03570492462077664,-0.008695031410604848,-0.008657338949811355
低碳情景,2033,-0.0014,0.0354,-0.009199999999999986,-0.0018000000000000238,0.0021999999999999797,-0.0014009809156281003,0.034787825485664024,-0.01040230419957307,-0.01034838734835497
低碳情景,2034,-0.0014500000000000001,0.034449999999999995,-0.009600000000000053,-0.0019000000000000128,0.0020999999999999908,-0.001451052267314806,0.03386988450761529,-0.012109957619600311,-0.01203692717860061
低碳情景,2035,-0.0015,0.0335,-0.010000000000000009,-0.0020000000000000018,0.0020000000000000018,-0.0015011261262670914,0.03295110013968598,-0.013817992367313275,-0.013722962123400295
低碳情景,2036,-0.0015500000000000002,0.032549999999999996,-0.010399999999999965,-0.0020999999999999908,0.0019000000000000128,-0.0015512024927364,0.03203147083066376,-0.015526409141261495,-0.015406495860554759
低碳情景,2037,-0.0015999999999999999,0.0316,-0.010800000000000032,-0.0021999999999999797,0.0018000000000000238,-0.001601281366973768,0.03111099502505273,-0.0172352086419228,-0.017087532062819655
低碳情景,2038,-0.00165,0.030649999999999997,-0.011199999999999988,-0.0023000000000000242,0.0017000000000000348,-0.0016513627492306024,0.030189671163057673,-0.01894439157170998,-0.01876607439791178
低碳情景,2039,-0.0017000000000000001,0.0297,-0.011600000000000055,-0.0024000000000000132,0.0016000000000000458,-0.0017014466397576814,0.029267497680568143,-0.020653958634979395,-0.020442126528519067
低碳情景,2040,-0.00175,0.028749999999999998,-0.01200000000000001,-0.0025000000000000022,0.0014999999999999458,-0.001751533038806488,0.028344473009142567,-0.022363910538036744,-0.022115692112305907
低碳情景,2041,-0.0018,0.0278,-0.012400000000000022,-0.002599999999999991,0.0013999999999999568,-0.0018016219466282088,0.027420595575992218,-0.024074247989145498,-0.02378677480192204
低碳情景,2042,-0.00185,0.02685,-0.012799999999999978,-0.00269999999999998,0.0012999999999999678,-0.001851713363474291,0.026495863803965153,-0.025784971698533214,-0.025455378245009208
低碳情景,2043,-0.0019000000000000002,0.0259,-0.01319999999999999,-0.0028000000000000247,0.0011999999999999789,-0.0019018072895963312,0.025570276111530045,-0.027496082378399764,-0.0271215060842096
低碳情景,2044,-0.00195,0.02495,-0.013600000000000001,-0.0029000000000000137,0.0010999999999999899,-0.001951903725245407,0.024643830912759963,-0.029207580742923157,-0.028785161957171512
低碳情景,2045,-0.002,0.024,-0.014000000000000012,-0.0030000000000000027,0.0010000000000000009,-0.0020020026706731903,0.023716526617316065,-0.030919467508268322,-0.030446349496558556
强化低碳情景,2025,-0.001,0.041,-0.008000000000000007,-0.0020000000000000018,0.0024999999999999467,-0.0010005003335836456,0.04018178963283176,-0.004183363110871533,-0.004174625036505453
强化低碳情景,2026,-0.001075,0.04005,-0.008499999999999952,-0.0021499999999999853,0.0023999999999999577,-0.0010755782269331613,0.03926878892069992,-0.0062130678827738645,-0.006193806687532
强化低碳情景,2027,-0.00115,0.0391,-0.009000000000000008,-0.0023000000000000242,0.0022999999999999687,-0.001150661757395972,0.038354953876463906,-0.008243151922305805,-0.008209270306516747
强化低碳情景,2028,-0.001225,0.03815,-0.009499999999999953,-0.0024500000000000077,0.0021999999999999797,-0.0012257509258187611,0.03744028297384491,-0.01027361591717409,-0.010221022587148965
强化低碳情景,2029,-0.0013,0.037200000000000004,-0.010000000000000009,-0.002599999999999991,0.0020999999999999908,-0.0013008457330480696,0.03652477468237217,-0.012304460556974022,-0.012229070211483228
强化低碳情景,2030,-0.001375,0.036250000000000004,-0.010499999999999954,-0.0027499999999999747,0.0020000000000000018,-0.0013759461799310734,0.03560842746736757,-0.014335686533194242,-0.014233419849957296
强化低碳情景,2031,-0.00145,0.0353,-0.01100000000000001,-0.0029000000000000137,0.0019000000000000128,-0.0014510522673146947,0.03469123978993026,-0.01636729453922569,-0.01623407816141542
强化低碳情景,2032,-0.0015249999999999999,0.03435,-0.011499999999999955,-0.003049999999999997,0.0018000000000000238,-0.0015261639960466027,0.033773210106921296,-0.01839928527036652,-0.018231051793125563
强化低碳情景,2033,-0.0016,0.0334,-0.01200000000000001,-0.0031999999999999806,0.0017000000000000348,-0.0016012813669739904,0.03285433687094728,-0.02043165942383136,-0.02022434738080292
强化低碳情景,2034,-0.001675,0.03245,-0.012499999999999956,-0.0033500000000000196,0.0016000000000000458,-0.0016764043809443527,0.031934618530345925,-0.0224644176987557,-0.02221397154862703
强化低碳情景,2035,-0.00175,0.0315,-0.013000000000000012,-0.003500000000000003,0.0014999999999999458,-0.0017515330388062655,0.03101405352916954,-0.02449756079620638,-0.0241999309092652
强化低碳情景,2036,-0.0018250000000000002,0.03055,-0.013499999999999956,-0.0036499999999999866,0.0013999999999999568,-0.0018266673414074946,0.03009264030716941,-0.026531089419184688,-0.026182232063889477
强化低碳情景,2037,-0.0019,0.0296,-0.014000000000000012,-0.0038000000000000256,0.0012999999999999678,-0.0019018072895964425,0.029170377299779924,-0.028565004272637397,-0.028160881602199983
强化低碳情景,2038,-0.001975,0.028650000000000002,-0.014500000000000013,-0.003950000000000009,0.0011999999999999789,-0.0019769528842210346,0.028247262938102674,-0.030599306063460407,-0.03013588610244211
强化低碳情景,2039,-0.0020499999999999997,0.027700000000000002,-0.015000000000000013,-0.0040999999999999925,0.0010999999999999899,-0.0020521041261307234,0.02732329564889041,-0.03263399550050926,-0.03210725213142951
强化低碳情景,2040,-0.002125,0.02675,-0.015500000000000014,-0.004249999999999976,0.0010000000000000009,-0.0021272610161740396,0.02639847385453096,-0.03466907329460387,-0.034074986244561845
强化低碳情景,2041,-0.0022,0.025799999999999997,-0.016000000000000014,-0.004400000000000015,0.0009000000000000119,-0.0022024235552000394,0.02547279597303107,-0.036704540158537025,-0.03603909498584623
强化低碳情景,2042,-0.002275,0.02485,-0.016500000000000015,-0.0045499999999999985,0.0008000000000000229,-0.002277591744057859,0.02454626041800016,-0.03874039680708117,-0.03799958488791633
强化低碳情景,2043,-0.00235,0.023899999999999998,-0.017000000000000015,-0.004699999999999982,0.0007000000000000339,-0.0023527655835971603,0.023618865598634027,-0.040776643956996345,-0.03995646247205331
强化低碳情景,2044,-0.002425,0.022949999999999998,-0.017500000000000016,-0.004850000000000021,0.0006000000000000449,-0.0024279450746674627,0.02269060991969845,-0.042813282327036926,-0.0419097342482051
强化低碳情景,2045,-0.0025,0.022,-0.018000000000000016,-0.0050000000000000044,0.0004999999999999449,-0.002503130218118477,0.02176149178151271,-0.04485031263795936,-0.04385940671500632
